Website,Compliance Status,Granular Consent Status,Cookies Before,Cookies After
https://anu.edu.au,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,372,372
https://unsw.edu.au,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,380,380
https://rice.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,374,387
https://nd.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,377,377
https://fsu.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,388,388
https://dartmouth.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,392,393
https://byu.edu,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,390,390
https://uoregon.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,401,401
https://uky.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,399,399
https://unimelb.edu.au,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,439,440
https://uic.edu,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,419,419
https://gmu.edu,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,415,416
https://buffalo.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,429,429
https://emory.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,446,448
http://pku.edu.cn,Error in Cookie Consent Evaluation,No Granular Options Found,0,0
https://uq.edu.au,Partially Compliant - Cookie Banner Present notworking accept/reject ,No Granular Options Found,439,439
https://ucsc.edu,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,436,436
https://ucr.edu,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,436,436
https://missouri.edu,Non-Compliant - No Consent Mechanism,No Granular Options Found,441,441
http://uh.edu,Error in Cookie Consent Evaluation,Error in Granular Consent Evaluation,0,0
https://uconn.edu,Partially Compliant - Cookie Banner Present notworking accept/reject ,Granular Consent Evaluated,441,441
https://nap.edu,Non-Compliant - Cookies Set Before Consent,Granular Consent Evaluated,456,455
http://tsinghua.edu.cn,Error in Cookie Consent Evaluation,No Granular Options Found,0,0
